__Title__,__URL__,Context Title,Context Name (Publication),Context Description,Context Name (Excavation),Culture/Period,Burial Type,Pottery Types,Skeletal Remains,Notes,Season Number,Location Type,Nissen Date,Abbreviation
Unknown,http://ur.iaas.upenn.edu/location/982/,Unknown,Unknown,Woolley did not list a location.
Ur,http://ur.iaas.upenn.edu/location/2/,Ur,Ur; Tell el-Muqayyar,When Woolley lists context only as 'Ur' on his object catalog cards he tends to mean that it was found somewhere within the confines of the city wall but no more specific than that. These are often surface finds that Woolley felt did not require more specific find spot information. Those found outside the city walls were typically recorded as 'brought in' followed by the name of the broad region from which they were brought in by the workers.
AH Site | AH,http://ur.iaas.upenn.edu/location/5/,AH Site | AH,AH Site,"In the southeast portion of the mound of Ur, Woolley excavated a large horizontal extent of domestic space roughly 115 x 85m. near the surface he found scattered Neo-Babylonian and Kassite remains and intrusive graves of the late periods but he did not publish these in detail nor are there any extant notes covering them. Instead, Woolley's main goal was to uncover the best preserved floorplans of houses. These he found several meters down, houses of the Isin-Larsa/Old Babylonian period. Because the Old Babylonian period was typically that associated with the potential time of Abraham, Woolley used the abbreviation AH (Abraham's Housing) to refer to this excavation area.

In the course of excavation of the Isin-Larsa/Old Babylonian levels Woolley numbered 27 'houses,' or excavation units. He renumbered the houses for publication based on the overall plan, preserved walls, and doors onto streets. In this way he showed there were 52 individual houses within his 27 excavation areas. However, houses were frequently altered throughout period, as families would knock out walls or block up doors, and thus true house numbers are difficult to establish. Woolley mentions phases of rebuilding, but states that he sought the best preserved floor plan and published the excavation of a particular house based on that plan alone. In some cases he noted deeper remains that may have gone back to the Ur III period. These levels he partially uncovered as he excavated graves beneath the Larsa period floors.

A great deal of baked brick was in use for walls of the Isin-Larsa/Old Babylonian period. Some houses used it in the lowest portion of a wall, but others used it for entire walls up to 3 meters in height. Town planning was not evident, as streets tended to wander in narrow and winding paths. Corners where streets met were often rounded, leading Woolley to surmise that this was to prevent problems with laden donkeys catching their wares on corners.

Many houses had a domestic chapel within, often with family burials beneath the floor. Communal chapels were also noted, at least four being identified in the area. Finally, Woolley believed that some buildings were specifically used for commercial activities (shops), though this is difficult to prove.",AH; Abraham's Housing
Baker's Square,http://ur.iaas.upenn.edu/location/996/,Baker's Square,Baker's Square,This square is located to the South West of AH.,
No. 1 Baker's Square,http://ur.iaas.upenn.edu/location/997/,No. 1 Baker's Square,No. 1 Baker's Square,"To the Northwest of baker's square, 7 rooms; A door in the north corner of Baker's Square led into a long passage which was more like a private lane than a room in a house and had in its SW wall the front entrance to a separate building (not excavated). Facing this was the entrance to No. 1. The passage was unpaved and let into its floor was a brick enclosure like a manger. Of the walls, the SW was the deeper and apparently the older; the foundations of the NW wall lay at a much higher level, seven courses above those of the SW wall, but the two were bonded together above; the NW wall had been much destroyed by an intrusive bread-oven.",,Isin-Larsa
Room 1,http://ur.iaas.upenn.edu/location/458/,Room 1,Room 1,"Central Court; What may then have been the front door of No. 1 opened directly into Room 1, the courtyard of the house; it was brick-paved with a central drain and the walls showed eleven courses of burnt brick with mud brick above. On a secondary floor level was found the cylinder seal U.16802; under the original pavement was the corbel-vaulted tomb LG/41 and an infant burial LG/42. Two rooms on the NW side of the court were not excavated by us as they lay under spoil-heaps whose removal would have entailed a cost out of proportion to any probable results, so only their doors were cleared.",,
LG/41 | AHG/194,http://ur.iaas.upenn.edu/location/682/,LG/41 | AHG/194,Larsa Grave 41,"Analysis of the available material indicates that there were two LP pavements in this room, an ""early"" and a ""late""; LG/41 is associated with the ""early"" pavement.",AH Grave 194,,Corbel- vaulted tomb.,"t. 6, 51a (two), 71 (four), 72a, 69a, all outside door; t. 45a (two), 12c, 6 (two), 71, all inside."
LG/42 | AHG/201,http://ur.iaas.upenn.edu/location/683/,LG/42 | AHG/201,Larsa Grave 42,"Analysis of the available material
indicates that this grave is associated with the earlier of the two LP pavements in this structure; exact location of grave in room is known",AH Grave 201,,Pot burial in pot of Type IL.79.,"4, 79 (containing the body).",Infant's burial
Room 2,http://ur.iaas.upenn.edu/location/459/,Room 2,Room 2,"Staircase; The SE end of this wall had been razed to floor level and the Room 2 and 3, probably the staircase and lavatory, had been completely gutted; under Room 2 was found the pot-burial LG/40. Much of the SE wall also was destroyed, only the SW jamb of the doorway being left.",,,,,
LG/40 | AHG/198,http://ur.iaas.upenn.edu/location/684/,LG/40 | AHG/198,Larsa Grave 40,,AH Grave 198,,"Pot burial-
in large bowl of type 32, decorated with bitumen painting, P1. 102.","10b, 10c, 32, 42, 45c.",Skull only
Room 3,http://ur.iaas.upenn.edu/location/460/,Room 3,Room 3,"Lavatory; The SE end of this wall had been razed to floor level and the Room 2 and 3, probably the staircase and lavatory, had been completely gutted; under Room 2 was found the pot-burial LG/40. Much of the SE wall also was destroyed, only the SW jamb of the doorway being left.",,,,,
Room 4,http://ur.iaas.upenn.edu/location/461/,Room 4,Room 4,"Guest Room; Room 4, the guest-chamber, had only a clay floor and its walls showed eight courses of burnt brick, standing to a total height of 2.30 m.; in the back wall was a door to Room 5,",,,,,
Room 5,http://ur.iaas.upenn.edu/location/462/,Room 5,Room 5,"Chapel; Room 5, the domestic chapel. Here- a few bricks in the east corner may represent a pavement but this had perished and the rest of the room seemed to be clay floored; in the west corner a few courses of brick stood for the ""table"". The SE wall, with thirteen courses of burnt brick, was preserved to a height of 2.90 m.; in the NW wall, on the line of the front of the altar that must have been there, was a niche which started at floor level and was carried up to the top of the surviving mud brickwork (c. 2.20 m.); in the SW wall was an incense-hearth, its base 0.35 m. above the floor and it had at one time been widened, as the NW side was a straight joint and the SE side had been cut in the burnt brick; above the burnt brickwork it narrowed to the normal chimney, which went up to the height of the standing wall, 2.20 m. Below the floor was a large brick tomb with arched doorway and also a burial in a large urn.",,,,,
LG/42.5,http://ur.iaas.upenn.edu/location/685/,LG/42.5,Larsa Grave 42.5,Chapel,,,Not recorded.,,
