__Title__,__URL__,Image Subject,Penn Archival Type,Penn Archival Folder Number,Penn Archival Image Number,Penn Archival Box Number,Penn Archival Image Label,Transcription,Field Number,Transcribed Context,Transcribed Measurements,Transcribed Legrain Category,Legrain Card Includes Photo,Legrain Card Includes Drawing,Penn Archival Card Number,Transcribed Museum Number,Field Photo Number,Transcribed Catalogue Number,Title,Description (Media Properties),Date,Author,Publisher,Publication place,Volume,Journal,Editors,Title of Article,Issue,Citation,Pages
8732,http://www.ur-online.org/media_item/181760/
PH,http://www.ur-online.org/media_item/189440/,Travel; People; Female; Male; Western Visitors; Children,PH,F02,005a,B17,LP107
F46,http://www.ur-online.org/media_item/189952/,,,F46,,B08,,Fr_t-Fem. waist up w. Drab,1136,Dq.,39 mm,Nude Fem-H_d-raised,No,Yes,C027
F00A,http://www.ur-online.org/media_item/191232/,,,F00A,,B08,,Fr_t Fem. Fig. clasp_d,U. 100,TTA,,Nude Clasp_d,No,Yes,C008
F05,http://www.ur-online.org/media_item/191488/,,,F05,,B08,,Spouted clay vase. Incised (=Granny),10183,PG. 778,"h. 360mm
Rim 90
Base 70",Spout_d Vase - Granny,No,No,C011,17249,of Enlarg_t
F13,http://www.ur-online.org/media_item/192768/,,,F13,,B08,,"Buff clay. Beard_d man- Brok at knees
Nude- Bell. Ityphallic- Holds 2 palms? 
Like armed god- but no horned milk.",1782,Dq.,84x29mm,"Nude, worshiper carrying palms (? handles with markings?) - Double rope belt",No,No,C004,15630,(174)=190,107
F20,http://www.ur-online.org/media_item/193024/,,,F20,,B08,,"Drab
Head only-mitre & beard.",3063,Dq.,,Armed god-Bull's ears,No,Yes,C045,,,
F29,http://www.ur-online.org/media_item/193280/,,,F29,,B08,,"Stool model
Sq. seat w cane centre.
2 legs broken",18263,Dq.,20x40,Stool,No,No,C024,,,
F39,http://www.ur-online.org/media_item/193536/,,,F39,,B08,,"Shoulders- 
Necklace-
Kaunakes robe with sleeves covering arms.",,,,,No,No,C007,,,
Ur Excavation Volumes Provisional,http://www.ur-online.org/media_item/1/,,,,,,,,,,,,,,,,,,Ur Excavation Volumes Provisional
8477,http://www.ur-online.org/media_item/181505/,,,,,,,,,,,,,,,,,,
8733,http://www.ur-online.org/media_item/181761/,,,,,,,,,,,,,,,,,,
PH,http://www.ur-online.org/media_item/189441/,Travel; Landscape; Sheep or Goat/s; Arabs; Car; Mountain; Tree,PH,F02,005b,B17,LP108,,,,,,,,,,,,
F46,http://www.ur-online.org/media_item/189953/,,,F46,,B08,,Nude Fem. clasp_d Head & Feet miss_g. Neckl. waist bangles. Between breasts a rosette on either side a vertical post(?) decorated at intervals w. a rosette.,7670,Dq.,w. 32.,Nude clasp_d-Rosettes,No,Yes,C028,,,,
F00A,http://www.ur-online.org/media_item/191233/,,,F00A,,B08,,Nude Fem. clasp_d over breast (prayer?) Head & feet miss_g,6948,KP.S,W. 50,Nude clasp_d,No,Yes,C009,,,,
F05,http://www.ur-online.org/media_item/191489/,,,F05,,B08,,"CF. Englarg_d 
Clay offe_g table",8245,"TTE 
PG.","d. 310 mm
h. 350
d. foot 290",Offer table,No,No,C012,17310,843,,
F13,http://www.ur-online.org/media_item/192769/,,,F13,,B08,,"about Loins - supporting a sheath on front-Long beard-braided-Turban or hairband. Feet broken off.
Moulded.",,,,,No,No,C004A,,,,
F20,http://www.ur-online.org/media_item/193025/,,,F20,,B08,,"Beard_d man, horn_d cap, hold_g
2 objects against sh. (Cairid fashion)
Flounc_d skirt. Mended-Whitish",1007.,Dq.,140mm,Armed-god,No,No,C046,,,,
F29,http://www.ur-online.org/media_item/193281/,,,F29,,B08,,Stool w. wicker work seat.,18707,Dq.,"Circ. 35
h. 25",Stool,No,No,C025,,,,
F39,http://www.ur-online.org/media_item/193537/,,,F39,,B08,,TC. relief Fr_t below waist. seated godess,1113,Railway Site,55mm,seat_d-Kaunakes,No,No,C008,31-16-910,,,
8734,http://www.ur-online.org/media_item/181762/,,,,,,,,,,,,,,,,,,
PH,http://www.ur-online.org/media_item/189442/,Travel; Landscape; Sheep or Goat/s; Arabs; Tree; Village,PH,F02,005c,B17,LP109,,,,,,,,,,,,
F46,http://www.ur-online.org/media_item/189954/,,,F46,,B08,,TC. relief. Nude fem. w. snood % neckl. H. clasp_d on breast Bold model_g Broken off at waist,16485,Dq.,h. 52mm,Nude clasp_d,Yes,No,C029,,1861,,
F00A,http://www.ur-online.org/media_item/191234/,,,F00A,,B08,,Mould_d Fr_t waist down. Fem.-Lower end turn_d up. creamy,1148,Dq.,l. 57,Nude Fem.,No,Yes,C010,,,,
F05,http://www.ur-online.org/media_item/191490/,,,F05,,B08,,cf Enlarg_d clay offer_g table,10748,PG. 895,,offer table,No,No,C013,B17245,,252,
F13,http://www.ur-online.org/media_item/192770/,,,F13,,B08,,"Mould_d broken below knees.
Beard_d fig. w. plait_d locks.
hold_g emblem in each. hand.",1329,Dq.,h.85,,Yes,No,C005,15630,(174=) 190,,
F20,http://www.ur-online.org/media_item/193026/,,,F20,,B08,,"Stand_g god, beard_d, horn_d cap
hold_g weapons.",18967,Brought in,h.70.,Armed god,No,No,C047,,,,
F29,http://www.ur-online.org/media_item/193282/,,,F29,,B08,,Stool w. wicker- work seat.,18708,Dq.,30x95 Circ.,Stool,No,No,C026,,,,
F39,http://www.ur-online.org/media_item/193538/,,,F39,,B08,,TC. Fig Pinkish ware. Fem. in flounc_d dress w. hands clasped-stal encrusted,3040,Dq.,,Dress_d-clasp_d- no emblem,Yes,No,C009,,421,,
Ur Albums Photo Provisional,http://www.ur-online.org/media_item/3/,,,,,,,,,,,,,,,,,,,Ur Albums Photo Provisional
8479,http://www.ur-online.org/media_item/181507/,,,,,,,,,,,,,,,,,,,
8735,http://www.ur-online.org/media_item/181763/,,,,,,,,,,,,,,,,,,,
PH,http://www.ur-online.org/media_item/189443/,Travel; People; Female; Male; Western Visitors; Modern; Tree,PH,F02,005d,B17,LP,,,,,,,,,,,,,
F00A,http://www.ur-online.org/media_item/191235/,,,F00A,,B08,,"Fem, Lower part trunk & legs only
Fine mould.",2719,,,Nude - clasp_d,No,Yes,C011,,,,,
F05,http://www.ur-online.org/media_item/191491/,,,F05,,B08,,"CF. Enlarg_d

Clay offering table",9237,PG 362,"h. 290
rim 340
base 240",offer table,No,No,C014,17311,,253,,
F13,http://www.ur-online.org/media_item/192771/,,,F13,,B08,,"Fr_t red. mould_d
Head & body. Beard_d man. hold_g whip (?) in rt. h.",1328,Dq,h.47.,"Nude man, holding 
[drawn symbol/also something crossed out]",No,No,C006,,,,,
F20,http://www.ur-online.org/media_item/193027/,,,F20,,B08,,"Type VIII. 5
TC. fig. miss_g below waist.
Deity Full face, wear_g h. horn_d headd. long point_d beard. Flowing down upon sh. & curling on them.
hands clasp_d over waist & support a mace? or baton? against
earh sh.",16108,,73x30,Armed god,No,No,C048,,,,,
F29,http://www.ur-online.org/media_item/193283/,,,F29,,B08,,"2 clay tables. Circular flat top. 3 legs 
small hole in centre due to depression underneath. In each case there is a drop of glaze which has fallen on this side & runs towards the central hole. The objects therefore seem to have been used as tripod supports, with the table top downwards as base, which was to be treated with glaze.",18199A,"NNCF 
NE. House 3, lower level",90-50mm,Table [Circled: R],No,No,C027,32-40-47,,,,
F39,http://www.ur-online.org/media_item/193539/,,,F39,,B08,,"[see. ph. 189 idea] 

TC. Fig. Fem. w. elaborat_y dress_d hair & Flounc_d robe. 

[Field no 3015 on ph 421 is a miniature stool.]",3277,Dq.,,Seat_d-clasp_d-Kaunak,Yes,No,C010,,421,,,
Ur Excavation photo negatives Provisional,http://www.ur-online.org/media_item/4/,,,,,,,,,,,,,,,,,,,Ur Excavation photo negatives Provisional
8480,http://www.ur-online.org/media_item/181508/,,,,,,,,,,,,,,,,,,,
8736,http://www.ur-online.org/media_item/181764/,,,,,,,,,,,,,,,,,,,
10509,http://www.ur-online.org/media_item/183556/,,,,,,,,,,,,,,,,,,,
PH,http://www.ur-online.org/media_item/189444/,Travel; People; Arabs; Tree; Village; Children,PH,F02,005e,B17,LP,,,,,,,,,,,,,
F46,http://www.ur-online.org/media_item/189956/,,,F46,,B08,,TC. Fig. Nude Fem. standing Full Face hands clasped. Slender type. complete.,18054,Dq,85x30mm,Nude clasp_d-slender,Yes,No,C031,32-40-17,2056,,,
F00A,http://www.ur-online.org/media_item/191236/,,,F00A,,B08,,"Nude fam. w. object at rt. h.
Fr_t moulded - Yellow clay",1551,Dq,80x68mm,Nude Fem.,No,No,C012,,,436,,
F05,http://www.ur-online.org/media_item/191492/,,,F05,,B08,,Enlarg_d Clay off. table-base & stem only Incis_d geom_t decer. 2 holes,U...,,,,No,No,C015,17309,,254,,
F13,http://www.ur-online.org/media_item/192772/,,,F13,,B08,,Beard_d male w. club on rt. sh.,3274,Dq.,,Man w. (crook or club whip,No,Yes,C007,,,,,
F20,http://www.ur-online.org/media_item/193028/,,,F20,,B08,,"Fr_t. Head & legs miss_g
God hold_g mace upright against
front of body. Dagger in belt, bangle on wrist. 
Ribbons of hair or wig(?) falling 
down onto breast",15784,"PG's
Larsa rub_sh",w.85,Armed god-,No,No,C049,,,,,
F29,http://www.ur-online.org/media_item/193284/,,,F29,,B08,,"Plain, round. 3 legs table",U..,,120x60mm,,No,No,C028,CBS. 16631,,198,,
F39,http://www.ur-online.org/media_item/193540/,,,F39,,B08,,"TC. Fem stand_g Full face h. clasp_d pleat_d flounc_d dress Hair elaboratl_y waved. 
A-from middle thighs up
B-complete paor.",18066,Dq.,"A. 47x25
B. 60x25",Fem Kaunak-clasp-Ginglets,Yes,No,C011,,2056,,,
Ur Excavations IV; The Early Periods,http://www.ur-online.org/media_item/5/,,,,,,,,,,,,,,,,,,Ur Excavations IV; The Early Periods,,1955,"Woolley, L.",Oxford University Press,Oxford
8481,http://www.ur-online.org/media_item/181509/,,,,,,,,,,,,,,,,,,,,,,,
13268,http://www.ur-online.org/media_item/186373/,,,,,,,,,,,,,,,,,,,,,,,
PH,http://www.ur-online.org/media_item/189445/,Travel; People; Western Visitors; Village; Tree,PH,F02,005f,B17,LP,,,,,,,,,,,,,,,,,
F55,http://www.ur-online.org/media_item/189701/,,,F55,,B08,,,6745A,212,,,Yes,No,C012,B. 16234,,212,,,,,,
F46,http://www.ur-online.org/media_item/189957/,,,F46,,B08,,Moul_d-red clay Fig. Nude fom. ni high relief.,1364,Dq.,ht. 100 mm,Nude clasp_d,Yes,No,C032,,189,,,,,,,
F00A,http://www.ur-online.org/media_item/191237/,,,F00A,,B08,,"Nude Fem, Full Face stand_g h. clasp_d Enrrust_d",18056,Dq.,120x40,Nude clasp_d,No,No,C013,206,,,,,,,,
F05,http://www.ur-online.org/media_item/191493/,,,F05,,B08,,PG. 364 From circular Larnax grave. Baked clay crescent. one side Flat one slightly convex,9234,TTF,,Crescent,No,No,C016,17218a,,230,,,,,,
F13,http://www.ur-online.org/media_item/192773/,,,F13,,B08,,"Shaven man, hold_g staff in rt. h.
l. hand to breast.
Broken at waist. Weak.",16930,Dq.,60.,Shaven-Man & staff,No,No,C008,,,,,,,,,
F20,http://www.ur-online.org/media_item/193029/,,,F20,,B08,,"Mould_d relief
Head & sh. Bear_d god
3 horn_d cap. Long side curls & long beard. Flail in l.h.
Face battered.",11409,"PG
Surf. soil",,Armed god,No,Yes,C050,,,,,,,,,
F29,http://www.ur-online.org/media_item/193285/,,,F29,,B08,,"TC. relief. Part of a circular model table ? on legs. of which only one remains! On top a stamped design of a bird, palm branches, a round object (fruit?) and an oblong like a rectangled cartouche. 
Whitish clay",1026,Railw. d.,70x50mm,Table + relief,No,No,C029,15200,,199,,,,,,
F39,http://www.ur-online.org/media_item/193541/,,,F39,,B08,,Drap_d fem. w h. clasp_d below feet miss_g,16999,Dq.,55,Fem clasp_d-Kaunakes,No,Yes,C012,,,,,,,,,
Ur Excavations Texts VIII.1: Royal Inscriptions Part II,http://www.ur-online.org/media_item/6/,,,,,,,,,,,,,,,,,,Ur Excavations Texts VIII.1: Royal Inscriptions Part II,,1965,"Sollberger, E.",British Museum Publications,London,1
8482,http://www.ur-online.org/media_item/181510/,,,,,,,,,,,,,,,,,,,,,,,,
8738,http://www.ur-online.org/media_item/181766/,,,,,,,,,,,,,,,,,,,,,,,,
10519,http://www.ur-online.org/media_item/183558/,,,,,,,,,,,,,,,,,,,,,,,,
PH,http://www.ur-online.org/media_item/189446/,Travel; People; Village; Africans; Tree,PH,F02,006a,B17,LP,,,,,,,,,,,,,,,,,,
F55,http://www.ur-online.org/media_item/189702/,,,F55,,B08,,Fr_t of a clay jar neck-5 grooves outside-short inscription inside: capacity in pint(sila) measures of the container: 189 q2 also: 172/1272/77/192/189,6745A,Nabonid. Egipar SE. end,110x70mm,,Yes,No,C013,B. 16234,,212,,,,,,,
F46,http://www.ur-online.org/media_item/189958/,,,F46,,B08,,nude fem. w h. clasp_d below br. Broken below arms,16986,AH.,,Nude clasp_d,No,Yes,C033,,,,,,,,,,
