__Title__,__URL__,Season Number,Full Name,Involvement with Ur,Date of Birth,Date of Death,Time of Involvement with Ur,Biography,Short Bio
Abd es Salaam,http://www.ur-online.org/personorg/58/,02: 1923-1924,Abd es Salaam,Foreman
Agatha Mary Clarissa (Miller) Christie Mallowan,http://www.ur-online.org/personorg/49/,,Agatha Mary Clarissa (Miller) Christie Mallowan,Excavator,1890,1976,1930,"Famous mystery writer who first visited the excavations at Ur in 1928, after her controversial divorce from her first husband, Archibald Christie in that year. She returned in 1929 and this time she met Woolley's assistant, Max Mallowan. Although she was 14 years older than Mallowan, he proposed to her and the two were married in 1930.

Katharine Woolley was a fan of Christie's books and was pleased to have her visit, but when Christie married Max Mallowan, Katharine Woolley is said to have forbade her from returning. Mallowan thus turned in his notice, completed the 1930-31 season at Ur, and then left to excavate with Reginald Campbell Thompson. Christie became an essential assistant to Mallowan's work and even wrote a non-fiction book, Come Tell Me How You Live, about excavations and life in Syria. This is the only book where she used both Christie and Mallowan as her surname.

Christie wrote several archaeologically oriented books, stories and plays, including Murder in Mesopotamia which is in part based on the dig at Ur. Most of the characters in the book can easily be attributed to people at the dig in the years 1928-1930. She was appointed CBE in 1956 and fully knighted in 1971."
Alawi ibn Hamoudi,http://www.ur-online.org/personorg/38/,08: 1929-1930; 09: 1930-1931; 10: 1931-1932; 11: 1932-1933; 12: 1933-1934,Alawi ibn Hamoudi,Foreman,,,1929-1934,Hamoudi's son
Algernon Stuart Whitburn,http://www.ur-online.org/personorg/35/,04: 1925-1926; 05: 1926-1927; 08: 1929-1930,Algernon Stuart Whitburn,Architect,,,"1925-27, 1929-30","Responsible for the ground plans of the Nannar courtyard and details of the northwest terrace; Algernon (known as Algy) Whitburn worked as archaeological architect at Ur from 1925 to 1930. He had enlisted in the Surrey Yeomanry at the start of the First World War, and was gazetted a Second Lieutenant in June 1915. Badly wounded at Vimy Ridge in 1916, Whitburn spent two years in hospital, and thereafter walked with a limp. After the War, he resumed his training as an architect. He was recommended to Woolley by the head of the firm for which he worked, who was a friend of Leonard Woolley. Whitburn replaced F.G. Newton, who had been the first archaeological architect at Ur from 1922. He began work at Ur at the same time as Max Mallowan and the two men became lifelong friends. There is a copy of a letter from Mallowan to Whitburn telling him of his marriage to Agatha Christie in 1930 before it became public knowledge.

Despite his injury which caused him much discomfort, Whitburn had a great sense of humour and a store of funny stories. Woolley described him in a letter to Sir Frederic Kenyon, the Chairman of the Trustees at the British Museum, as irrepressibly talkative, amazingly self-centred, very good-hearted with a somewhat vulgar manner  I like him and his work is really valuable.  There are in the Ur archive a number of photographs of Algy Whitburn, often striking a pose or playing a joke on other members of the expedition. There is a Christmas card to Whitburn written by Katharine Woolley in 1927 and also a poem written by her on receipt of a box of marrons glacés sent by Whitburn for Christmas 1928 concluding with the stanza:

But we finished the marrons and voted them fine
And drank Whitburns health in a bottle of wine
Which the exiles agreed without any demur
Was no more than his due who sent marrons to UR."
Arnold Walter Lawrence,http://www.ur-online.org/personorg/52/,,Arnold Walter Lawrence,Archaeological Assistant,1900,1991,1923-24,"Youngest brother of T.E. Lawrence ('Lawrence of Arabia'), A.W. Lawrence was asked to fill the assistant position at Ur after the original field assistant from Penn, Paul Hunter, had fallen ill and been sent home before ever reaching Iraq. Lawrence arrived at Ur about mid-way through the first season. 

A.W. Lawrence was primarily a Classicist and rose to be a leading authority on classical sculpture and architecture. He then took a position in Classical Archaeology at Cambridge University (1940s) and became Director of the National Museum of Ghana, which he founded in the 1950s."
Arthur F .E. Gott,http://www.ur-online.org/personorg/45/,11: 1932-1933; 12: 1933-1934,Arthur F .E. Gott,Architect,,,1932-34,Mapped out archaic levels
Arundell James Kennedy Esdaile,http://www.ur-online.org/personorg/47/,,Arundell James Kennedy Esdaile,"Secretary, British Museum",1880,1956,1926-1940,Lecturer at University College London and president of the Library Association (UK)
C. J. Curtis,http://www.ur-online.org/personorg/55/,,C. J. Curtis,"Clerk of Publications, British Museum",,,,
Charles Custis Harrison,http://www.ur-online.org/personorg/24/,,Charles Custis Harrison,"President, Board of the Managers of the University Museum",3 May 1844,12 February 1929,1911-1929,American University Provost from 1894-1910.  Constructed University Museum; Previously Provost and Vice President of the University
Charles Leonard Woolley,http://www.ur-online.org/personorg/10/,01: 1922-1923; 02: 1923-1924; 03: 1924-1925; 04: 1925-1926; 05: 1926-1927; 06: 1927-1928; 07: 1928-1929; 08: 1929-1930; 09: 1930-1931; 10: 1931-1932; 11: 1932-1933; 12: 1933-1934,Charles Leonard Woolley,Director (Ur Excavations),17 April 1880,20 February 1960,1922-1934,"Prominent British archaeologist whose excavation work includes digs at Roman Corbridge, Carchemish for the British Museum, Ur, and Al Mina and Tell Atchana in Syria. Knighted in 1935 for his contributions to the discipline of archaeology.; Trained as an archaeologist at Oxford University and excavated in Roman Britain (Corbridge) briefly, then in the Sudan under British-born American archaeologist David Randall-MacIver, who was a curator at the Penn Museum. Woolley then conducted excavations at Carchemish near the current Syrian/Turkish border from 1911-1914. In World War I, Woolley's knowledge of the Middle East was extremely valuable and he worked for British Intelligence. Even before the War he was essentially spying on the German railroad that was under construction near Carchemish (the Berlin-Baghdad Railway). Relatively early in the war, however, Woolley was captured and spent two years in a Turkish POW camp.

Woolley was chosen to lead the expedition to Ur as early as 1920 when the two museums began to discuss the details of a joint excavation. He began work at the site late in 1922 and completed excavations in 1934, working long hours and accomplishing a great deal. He was knighted in 1935 for his work at Ur. He went on to run excavations at Al Mina and Alalakh in Syria. In his lifetime he gave many lectures and wrote many articles and books but never held an academic position. He died in 1960 and was lauded by generations of scholars around the world for his contributions to the field of archaeology.; Leonard Woolley was the third of eleven children of a Church of England clergyman, George Herbert Woolley, and his wife Sarah. He attended St Johns, Leatherhead, and New College, Oxford where he studied Classics and theology. It was the warden of New College, W.A. Spooner, who advised him to take up archaeology after graduation. In 1905 Woolley was appointed assistant to Arthur Evans, Keeper of the Ashmolean Museum, in Oxford.

Woolleys early career took him to Nubia in 190711, and after that he went as director of the Carchemish expedition sponsored by the British Museum. One of his assistants was T.E. Lawrence (better known as Lawrence of Arabia). Woolley and Lawrence collaborated in assisting the Palestine Exploration Fund in its programme of making a definitive map of the Holy Land. This work was published in 1915 as The Wilderness of Zin. 

After the outbreak of the First World War in 1914, Woolley was posted to Cairo where he acted as an intelligence officer. He was promoted to the rank of major in 1916 before being captured by the Turks and imprisoned at Kastamonu. He tried to return to Carchemish after the War but the political situation was too unsettled. In 1921, he excavated at Tell el-Amarna in Egypt with T.E. Peet, sponsored by the Egypt Exploration Society.

In 1922, Woolley was made director of a joint expedition at Ur funded by the British Museum and The University of Pennsylvania Museum. It is with this site that his name will always be associated. He spent twelve years there, until 1934. Within two years of his arrival, Gertrude Bell had established the Iraq Museum in Baghdad which had a statutory right to first choice of all objects excavated. So rich were the finds from the site, however, especially from the Royal Cemetery, that both the British Museum and Penn Museum also contain fabulous objects from Ur in their collections. 

Woolleys strengths were his painstaking approach to excavation; for example, excavation of the Royal Cemetery was delayed until he believed his local workforce was sufficiently well-trained to tackle the intricate disclosure of these opulent tombs. He also monitored and instructed his own staff, in particular Max Mallowan who early on acquired the habit of keeping careful field notes, making drawings, preparing monthly reports for sponsors, and most important, publishing in full each seasons work and finds as soon as possible after the seasons end. Woolley had a way with words and both his non-specialist books and lantern slide lectures were very popular with the public. His weakness was a familiarity with the Old Testament which led to unfounded connections between it and the work in hand, as for example, his belief that Ur was the birthplace of Abraham. Woolley also believed he had found evidence of The Flood. 

After Ur, Woolley moved to Tell Atchana in northern Syria, digging there before the War in 193739, and after it, from 1946¬49. He was knighted for his services to archaeology in 1935. During the Second World War, Woolley worked for the Military Intelligence Directorate to assess and protect art and museum collections throughout Europe. He reported to Winston Churchill personally. In this work he was most ably assisted by his wife Katharine.

After Katharines death and the end of his active archaeological career at Atchana, Woolley retired to Ashford in Kent. After an unsuccessful relationship, he retired to Dorset where he was looked after by a devoted housekeeper and her husband, thus enabling him to write up his archaeological work."
Chauncey Percy Tietjens Winckworth,http://www.ur-online.org/personorg/59/,09: 1930-1931,Chauncey Percy Tietjens Winckworth,Epigraphist,,,1930-1931,
